500,4.93928e-005,5.20269e-005
1000,8.35096e-005,0.000103068
1500,0.000122403,0.00016174
2000,0.000154783,0.000212218
2500,0.000189811,0.000254138
3000,0.000231962,0.000326858
3500,0.000253943,0.000381113
4000,0.000285234,0.000433194
4500,0.000327743,0.00047847
5000,0.000368003,0.000542133
5500,0.000410301,0.00060387
6000,0.000432419,0.000648127
6500,0.000450701,0.000716466
7000,0.000497286,0.000779864
7500,0.000525823,0.000783811
8000,0.00055591,0.000846836
8500,0.000609182,0.000979522
9000,0.00063518,0.00100839
9500,0.000672315,0.00102933
10000,0.000687762,0.00104674
10500,0.000714797,0.00110921
11000,0.000819828,0.0013178
11500,0.000829204,0.00130984
12000,0.000824842,0.00134866
12500,0.000882819,0.00140012
13000,0.000899316,0.0013976
13500,0.000922466,0.00144316
14000,0.000961345,0.00143056
14500,0.000995521,0.00148805
15000,0.00101363,0.00156588
15500,0.00103117,0.00165342
16000,0.00105277,0.00173891
16500,0.00117712,0.00201003
17000,0.00121105,0.00204227
17500,0.00121857,0.00208616
18000,0.00126706,0.0021072
18500,0.00129125,0.00212116
19000,0.00132133,0.00218101
19500,0.00134578,0.00216947
20000,0.00138721,0.00226104
20500,0.00141216,0.00224408
21000,0.00144901,0.00228587
21500,0.00146003,0.0023091
22000,0.00149364,0.00227139
22500,0.00153401,0.0023853
23000,0.00158066,0.00238856
23500,0.00160841,0.00238212
24000,0.00162263,0.00239389
24500,0.00166985,0.00240896
25000,0.00173215,0.00247703
500,5.10404e-005,5.39733e-005
1000,8.43866e-005,0.00010091
1500,0.000118873,0.000160517
2000,0.000169423,0.000222284
2500,0.000203473,0.000274749
3000,0.000264804,0.000365782
